,delivery,ball,rightHandedBat,rightArmedBowl,bowlingStyle,ballSpeed,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
86629,2.2.1,1,True,True,LEG_SPIN,23.455,0,0,0,,0.261,4.141,-0.296,0.564,38.0,43.0
86630,2.2.2,2,True,True,LEG_SPIN,24.617,1,1,1,,0.039,4.26,0.186,0.545,68.0,30.0
86635,2.3.1,1,True,True,FAST_SEAM,40.05,4,4,4,,0.484,6.239,-0.379,0.6,32.0,89.0
86636,2.3.2,2,True,True,FAST_SEAM,37.788,4,4,4,,0.643,11.882,-0.627,1.629,86.0,68.0
86637,2.3.3,3,True,True,FAST_SEAM,40.426,1,1,1,,0.605,9.214,-0.521,0.969,38.0,9.0
86641,2.3.7,6,True,True,FAST_SEAM,39.655,4,4,4,,0.501,7.725,-0.38,0.715,11.0,55.0
86643,2.4.2,2,True,False,SEAM,38.71,2,2,2,,-0.012,6.278,-0.174,0.565,48.0,89.0
86644,2.4.3,3,True,False,SEAM,37.754,0,0,0,,-0.313,8.26,0.199,0.895,5.0,5.0
86645,2.4.4,4,True,False,SEAM,38.33,0,0,0,,-0.278,11.008,0.123,1.457,5.0,5.0
86646,2.4.5,5,True,False,SEAM,38.136,1,1,1,,-0.139,10.886,-0.153,1.277,36.0,35.0
86648,2.5.1,1,True,False,MEDIUM_SEAM,32.884,1,1,1,,-0.08,7.417,-0.288,0.736,40.0,58.0
86652,2.5.5,5,True,False,MEDIUM_SEAM,36.354,4,4,4,,-0.165,5.422,-0.038,0.612,38.0,90.0
86653,2.5.6,6,True,False,MEDIUM_SEAM,35.035,1,0,0,Lb,-0.486,9.25,0.251,1.065,42.0,34.0
86654,2.6.1,1,True,True,LEG_SPIN,24.627,0,0,0,,-0.123,2.006,0.272,0.038,68.0,27.0
86655,2.6.2,2,True,True,LEG_SPIN,24.834,1,1,1,,-0.104,2.466,0.197,0.498,60.0,80.0
86659,2.6.6,6,True,True,LEG_SPIN,23.769,6,6,6,,-0.065,3.73,0.05,0.525,66.0,91.0
86662,2.7.3,3,True,True,MEDIUM_SEAM,34.86,1,1,1,,0.277,7.104,-0.132,0.812,64.0,79.0
86665,2.7.6,6,True,True,MEDIUM_SEAM,36.251,0,0,0,,0.354,8.939,-0.224,0.986,41.0,24.0
86667,2.8.2,2,True,False,ORTHODOX,23.458,2,2,2,,0.061,5.842,0.041,0.595,75.0,28.0
86668,2.8.3,3,True,False,ORTHODOX,26.479,0,0,0,,0.333,4.892,-0.252,0.605,0.0,0.0
92666,1.14.4,4,True,False,ORTHODOX,24.49,1,1,1,,0.316,5.4,-0.154,0.705,33.0,36.0
92668,1.14.6,6,True,False,ORTHODOX,23.629,1,1,1,,0.301,5.203,-0.266,0.825,20.0,37.0
92669,1.15.1,1,True,True,MEDIUM_SEAM,37.814,0,0,0,,0.614,10.007,-0.538,1.098,5.0,5.0
92670,1.15.2,2,True,True,MEDIUM_SEAM,37.586,1,1,1,,0.451,8.236,-0.295,0.814,62.0,75.0
92678,1.16.4,4,True,True,LEG_SPIN,-1.0,1,1,1,,0.293,5.751,0.049,0.754,79.0,35.0
92685,1.17.5,4,True,True,MEDIUM_SEAM,34.773,1,1,1,,0.316,8.519,-0.188,0.878,60.0,54.0
92687,1.17.7,6,True,True,MEDIUM_SEAM,-1.0,1,1,1,,0.107,5.449,0.092,0.553,78.0,59.0
92688,1.18.1,1,True,True,LEG_SPIN,26.815,0,0,0,,0.481,4.941,-0.53,0.522,5.0,5.0
92689,1.18.2,2,True,True,LEG_SPIN,-1.0,0,0,0,,0.254,7.366,-0.171,0.651,0.0,0.0
93120,1.12.2,2,True,True,LEG_SPIN,23.733,2,2,2,,0.533,4.075,-0.468,0.552,61.0,9.0
93121,1.12.3,3,True,True,LEG_SPIN,23.546,4,4,4,,0.58,6.213,-0.562,0.927,38.0,7.0
93122,1.12.4,4,True,True,LEG_SPIN,23.139,1,1,1,,0.781,5.317,-0.809,0.61,39.0,40.0
93124,1.12.6,6,True,True,LEG_SPIN,24.297,0,0,0,,0.439,3.616,-0.477,0.49,41.0,38.0
93132,1.14.2,2,True,False,ORTHODOX,27.28,1,1,1,,0.35,5.939,0.098,0.601,74.0,68.0
93140,1.15.4,4,True,True,FAST_SEAM,39.605,1,1,1,,0.082,3.121,0.039,0.314,64.0,45.0
93142,1.15.6,6,True,True,FAST_SEAM,37.85,1,1,1,,-0.059,1.523,0.111,0.215,66.0,73.0
93143,1.16.1,1,True,True,LEG_SPIN,26.157,1,1,1,,-0.056,8.752,0.492,0.618,57.0,45.0
93148,1.16.6,6,True,True,LEG_SPIN,24.915,1,0,1,Wd,-0.274,6.045,0.658,0.548,5.0,5.0
93149,1.16.7,6,True,True,LEG_SPIN,24.717,2,2,2,,-0.089,2.938,0.268,0.42,80.0,70.0
