,matchId,delivery,ball,batter,batterId,rightHandedBat,nonStriker,nonStrikerId,bowler,bowlerId,rightArmedBowl,bowlingStyle,ballSpeed,dismissalDetails,runs,batterRuns,bowlerRuns,extras,pitchX,pitchY,stumpsX,stumpsY,fieldX,fieldY
73633,4082,2.19.2,2,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,34.141,,1,0,1,Wd,-1.051,6.862,-1.294,0.652,5.0,5.0
73634,4082,2.19.3,2,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,34.35,,0,0,0,,-0.804,7.384,-0.924,0.71,5.0,5.0
73635,4082,2.19.4,3,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,38.534,,2,1,2,Nb,0.316,-7.525,0.062,0.948,84.0,50.0
73637,4082,2.19.6,4,Jos Buttler,509,True,Kieron Pollard,210,Varun Aaron,61,True,SEAM,38.176,,6,6,6,,0.115,-0.813,0.086,0.168,83.0,70.0
73939,4084,1.11.3,3,Jos Buttler,509,True,Nitish Rana,2738,Marcus Stoinis,964,True,MEDIUM_SEAM,34.971,,1,1,1,,-0.344,7.815,-0.076,0.878,59.0,34.0
73957,4084,1.14.3,3,Jos Buttler,509,True,Kieron Pollard,210,Marcus Stoinis,964,True,MEDIUM_SEAM,35.002,c Gurkeerat Mann Singh b Marcus Stoinis,0,0,0,,0.385,5.101,0.744,0.579,0.0,0.0
74835,4088,1.18.3,3,Jos Buttler,509,True,Kieron Pollard,210,Chris Morris,836,True,FAST_SEAM,34.354,,1,1,1,,0.062,2.058,0.14,0.353,72.0,41.0
74838,4088,1.18.6,6,Jos Buttler,509,True,Ambati Rayudu,100,Chris Morris,836,True,FAST_SEAM,40.843,,4,4,4,,-0.307,3.342,-0.16,0.389,8.0,25.0
74845,4088,1.20.1,1,Jos Buttler,509,True,Ambati Rayudu,100,Chris Morris,836,True,FAST_SEAM,40.054,,0,0,0,,0.025,2.789,0.169,0.298,5.0,5.0
74846,4088,1.20.2,2,Jos Buttler,509,True,Ambati Rayudu,100,Chris Morris,836,True,FAST_SEAM,37.258,,1,0,0,Lb,-0.08,8.855,0.451,1.365,37.0,27.0
74848,4088,1.20.4,4,Jos Buttler,509,True,Ambati Rayudu,100,Chris Morris,836,True,FAST_SEAM,38.987,,4,4,4,,0.049,3.981,0.355,0.495,37.0,6.0
74849,4088,1.20.5,5,Jos Buttler,509,True,Ambati Rayudu,100,Chris Morris,836,True,FAST_SEAM,38.936,,0,0,0,,0.061,-3.688,-0.014,0.787,5.0,5.0
74850,4088,1.20.6,6,Jos Buttler,509,True,Ambati Rayudu,100,Chris Morris,836,True,FAST_SEAM,40.41,,6,6,6,,0.444,-3.214,0.211,0.507,76.0,86.0
76327,4095,1.6.1,1,Jos Buttler,509,True,Nitish Rana,2738,Praveen Kumar,77,True,SEAM,34.513,,0,0,0,,-0.173,6.252,-0.076,0.725,46.0,40.0
76328,4095,1.6.2,2,Jos Buttler,509,True,Nitish Rana,2738,Praveen Kumar,77,True,SEAM,31.082,,0,0,0,,-0.293,5.794,-0.123,0.714,46.0,42.0
76329,4095,1.6.3,3,Jos Buttler,509,True,Nitish Rana,2738,Praveen Kumar,77,True,SEAM,35.466,,0,0,0,,-0.27,7.727,-0.198,0.81,36.0,27.0
76330,4095,1.6.4,4,Jos Buttler,509,True,Nitish Rana,2738,Praveen Kumar,77,True,SEAM,34.87,,0,0,0,,-0.425,7.769,-0.671,0.805,5.0,5.0
76331,4095,1.6.5,5,Jos Buttler,509,True,Nitish Rana,2738,Praveen Kumar,77,True,SEAM,33.523,,0,0,0,,-0.261,8.435,0.002,0.973,5.0,5.0
